 Moyenne avec cache chaud 16:32
1688 1.20967e-09 7.24127e-11 16.7052 26 -4950 
1857 1.21031e-09 7.4953e-11 16.1476 26 7695 
2043 1.21431e-09 6.67819e-11 18.1833 26 -3420 
2247 1.22012e-09 6.56713e-11 18.5792 26 -7560 
2472 1.23587e-09 6.02733e-11 20.5044 26 -3510 
2719 1.24931e-09 5.23836e-11 23.8492 26 -9675 
2991 1.26861e-09 5.61905e-11 22.5769 26 -6030 
3290 1.29557e-09 5.49856e-11 23.5619 26 -4590 
3619 1.35602e-09 5.39174e-11 25.15 26 3015 
3981 1.39027e-09 5.91565e-11 23.5015 26 5985 
4379 1.4654e-09 6.48312e-11 22.6033 26 10485 
4817 1.51745e-09 7.39119e-11 20.5306 26 -1755 
5299 1.60863e-09 8.34063e-11 19.2867 26 315 
5829 1.69136e-09 9.59808e-11 17.6219 26 4635 
6412 1.80004e-09 1.09301e-10 16.4687 26 7560 
7053 1.82222e-09 1.23461e-10 14.7596 26 90 
7758 1.89909e-09 1.25286e-10 15.1581 26 6750 
8534 1.96314e-09 1.30985e-10 14.9876 26 8775 
9388 2.06461e-09 1.37714e-10 14.992 26 -810 
10326 2.06485e-09 1.43412e-10 14.398 26 -15255 
11359 2.14402e-09 1.53268e-10 13.9887 26 -9000 
12495 2.17082e-09 1.98391e-10 10.9421 26 -10215 
13745 2.21067e-09 2.28856e-10 9.65967 26 5850 
15119 2.24738e-09 2.58453e-10 8.69553 26 -3240 
16631 2.2804e-09 2.8566e-10 7.98293 26 5130 
18294 1.7744e-09 2.9737e-10 5.96698 26 2025 
20124 1.82574e-09 3.08495e-10 5.91821 26 2655 
22136 1.82376e-09 3.26293e-10 5.58934 26 -5580 
24350 1.81347e-09 3.55226e-10 5.1051 26 7245 
26785 1.81785e-09 3.67303e-10 4.94918 26 5625 
29463 1.87351e-09 3.76275e-10 4.97911 26 1260 
32410 1.84372e-09 3.93371e-10 4.68698 26 315 
8 4.61914e-10 8.09961e-09 0.0570292 28 -9180 
16 5.5957e-10 4.37793e-09 0.127816 28 -1575 
24 5.63802e-10 2.69727e-09 0.209027 28 2835 
32 6.03516e-10 2.27539e-09 0.265236 28 7920 
40 6e-10 1.75684e-09 0.341523 28 13095 
48 5.99121e-10 1.42692e-09 0.41987 28 225 
56 5.97796e-10 1.25237e-09 0.477331 28 990 
64 5.97412e-10 1.10596e-09 0.540177 28 -1080 
72 5.94944e-10 9.8329e-10 0.605054 28 4320 
80 5.94238e-10 9.18262e-10 0.647134 28 -3195 
88 5.81854e-10 8.21733e-10 0.708081 28 5175 
96 4.57869e-10 7.27361e-10 0.629494 28 -4635 
106 4.86609e-10 6.64465e-10 0.732332 28 5355 
117 4.66613e-10 5.6047e-10 0.83254 28 -1620 
128 4.3772e-10 5.6889e-10 0.769428 28 3690 
141 4.58625e-10 5.01902e-10 0.913774 28 1530 
155 4.9158e-10 4.80704e-10 1.02263 28 -3195 
171 4.5414e-10 4.41063e-10 1.02965 28 -6750 
188 4.82209e-10 3.65892e-10 1.3179 28 -2925 
207 4.42214e-10 3.67238e-10 1.20416 28 -12375 
228 5.08867e-10 3.2037e-10 1.58837 28 -405 
251 4.69173e-10 3.03601e-10 1.54536 28 2880 
276 6.30715e-10 2.82509e-10 2.23255 28 -5175 
303 5.56227e-10 2.49498e-10 2.22938 28 2790 
334 6.41015e-10 2.29767e-10 2.78984 28 945 
367 6.98901e-10 2.12644e-10 3.28671 28 2025 
404 8.19828e-10 1.86549e-10 4.3947 28 4365 
444 9.19658e-10 1.85421e-10 4.95983 28 450 
489 1.02278e-09 1.70899e-10 5.98467 28 12870 
538 1.12102e-09 1.48219e-10 7.56328 28 -7020 
591 1.17968e-09 1.43457e-10 8.22322 28 6210 
651 1.20198e-09 1.29157e-10 9.30642 28 3690 
716 1.20637e-09 1.26165e-10 9.56187 28 12465 
787 1.20712e-09 1.14557e-10 10.5373 28 -10755 
866 1.17386e-09 1.09462e-10 10.7239 28 -5130 
953 1.17654e-09 1.04667e-10 11.2408 28 945 
1048 1.17635e-09 9.21345e-11 12.7677 28 -1350 
1153 1.17571e-09 9.45972e-11 12.4286 28 8145 
1268 1.21269e-09 8.31773e-11 14.5796 28 -12105 
1395 1.21067e-09 7.22571e-11 16.7551 28 585 
1535 1.21158e-09 7.0844e-11 17.102 28 -4365 
1688 1.21634e-09 7.18159e-11 16.9369 28 -10935 
1857 1.21544e-09 6.98257e-11 17.4067 28 8955 
2043 1.21587e-09 6.45182e-11 18.8454 28 1215 
2247 1.22422e-09 6.53724e-11 18.7269 28 -8595 
2472 1.23027e-09 5.97835e-11 20.5788 28 -2070 
2719 1.2322e-09 5.22601e-11 23.5782 28 -6660 
2991 1.25919e-09 5.27431e-11 23.8741 28 -11430 
3290 1.28504e-09 5.56551e-11 23.0892 28 3960 
3619 1.32163e-09 5.27432e-11 25.0577 28 7200 
3981 1.35156e-09 5.25243e-11 25.7321 28 -12240 
4379 1.41247e-09 5.73445e-11 24.6314 28 4275 
4817 1.34995e-09 6.21776e-11 21.7112 28 6570 
5299 1.40359e-09 7.12173e-11 19.7085 28 4725 
5829 1.47878e-09 8.61155e-11 17.172 28 9180 
6412 1.57404e-09 9.71206e-11 16.207 28 5895 
7053 1.60589e-09 1.09412e-10 14.6775 28 2430 
