 Moyenne avec cache chaud 16:32
651 1.67251e-09 1.30987e-09 1.27685 2 -2.56785e+08 
716 1.67248e-09 1.38493e-09 1.20763 2 -1.2658e+08 
787 1.67235e-09 1.40442e-09 1.19078 2 -3.9371e+08 
866 1.67217e-09 1.41677e-09 1.18027 2 -1.47633e+08 
953 1.67204e-09 1.46958e-09 1.13777 2 -1.58435e+08 
1048 1.67193e-09 1.4753e-09 1.13328 2 1.13898e+08 
1153 1.67178e-09 1.49324e-09 1.11956 2 1.94323e+08 
1268 1.67174e-09 1.52656e-09 1.0951 2 4.701e+08 
1395 1.67158e-09 1.53672e-09 1.08775 2 -1.71062e+08 
1535 1.67147e-09 1.55798e-09 1.07284 2 8.24057e+07 
1688 1.67137e-09 1.56278e-09 1.06948 2 4.20001e+08 
1857 1.67134e-09 1.56683e-09 1.0667 2 9.12131e+07 
2043 1.67125e-09 1.57791e-09 1.05916 2 -6.0506e+08 
2247 1.67119e-09 1.58469e-09 1.05458 2 1.21348e+08 
2472 1.67143e-09 1.58539e-09 1.05427 2 -1.32517e+08 
2719 1.67239e-09 1.59646e-09 1.04756 2 -2.20033e+09 
2991 1.67228e-09 1.60222e-09 1.04372 2 9.22651e+07 
3290 1.67754e-09 1.61039e-09 1.0417 2 -8.31241e+08 
3619 1.68441e-09 1.62473e-09 1.03673 2 -4.00735e+08 
3981 1.69022e-09 1.63698e-09 1.03252 2 5.41277e+08 
4379 1.69847e-09 1.65922e-09 1.02366 2 1.06903e+09 
4817 1.72148e-09 1.69006e-09 1.01859 2 -1.67167e+09 
5299 1.73786e-09 1.7286e-09 1.00536 2 7.32426e+08 
5829 1.74796e-09 1.74924e-09 0.999268 2 1.07784e+09 
6412 1.76724e-09 1.75382e-09 1.00766 2 1.32528e+09 
7053 1.78863e-09 1.78142e-09 1.00405 2 3.93168e+08 
7758 1.79405e-09 1.78988e-09 1.00233 2 -1.1849e+09 
8534 1.80078e-09 1.81113e-09 0.994285 2 1.31306e+08 
9388 1.82333e-09 1.83364e-09 0.994375 2 1.95497e+09 
10326 1.83017e-09 1.83901e-09 0.995195 2 9.4647e+08 
11359 1.84469e-09 1.85489e-09 0.994499 2 1.15741e+09 
12495 1.83076e-09 1.86229e-09 0.983069 2 -2.69575e+08 
13745 1.83494e-09 1.87018e-09 0.981156 2 1.95751e+09 
15119 1.86031e-09 1.87599e-09 0.991644 2 2.4296e+09 
16631 1.85018e-09 1.8826e-09 0.982779 2 -3.55486e+08 
18294 1.85242e-09 1.89506e-09 0.9775 2 3.63906e+08 
20124 1.866e-09 1.90705e-09 0.978473 2 -8.46257e+08 
22136 1.85731e-09 1.90541e-09 0.974757 2 -9.23017e+08 
24350 1.86798e-09 1.92645e-09 0.969649 2 2.98212e+09 
26785 1.8825e-09 1.92965e-09 0.975564 2 -3.98583e+09 
29463 1.87658e-09 1.93466e-09 0.969978 2 -1.93286e+09 
32410 1.88143e-09 1.94899e-09 0.965333 2 4.81605e+08 
8 1.70605e-09 6.45898e-09 0.264137 4 4.9991e+07 
16 1.93262e-09 3.23389e-09 0.597614 4 -1.11817e+08 
24 1.92448e-09 2.31706e-09 0.83057 4 4.17399e+07 
32 1.68042e-09 1.81372e-09 0.926504 4 3.4634e+07 
40 1.67832e-09 1.59336e-09 1.05332 4 -1.24883e+08 
48 1.67725e-09 1.52181e-09 1.10214 4 -1.68246e+07 
56 1.6762e-09 1.28864e-09 1.30075 4 9.13529e+07 
64 1.6759e-09 1.24402e-09 1.34717 4 9.25478e+07 
72 1.67535e-09 1.12847e-09 1.48462 4 -1.25621e+07 
80 1.6752e-09 1.121e-09 1.49438 4 -1.0203e+08 
88 1.67489e-09 1.0388e-09 1.61234 4 1.0385e+08 
96 1.67433e-09 9.9427e-10 1.68398 4 7.87362e+07 
106 1.67466e-09 9.69917e-10 1.72661 4 -7.39692e+07 
117 1.67454e-09 9.40031e-10 1.78137 4 -4.56408e+07 
128 1.67423e-09 8.9909e-10 1.86213 4 2.23353e+08 
141 1.67402e-09 8.5997e-10 1.9466 4 1.28491e+08 
155 1.67372e-09 8.38462e-10 1.99617 4 -3.53088e+07 
171 1.6733e-09 7.86987e-10 2.12622 4 1.14535e+08 
188 1.67321e-09 8.07423e-10 2.07229 4 -3.22645e+08 
207 1.67283e-09 7.58162e-10 2.20643 4 -6.33812e+07 
228 1.67268e-09 7.85827e-10 2.12856 4 5.66165e+07 
251 1.67243e-09 7.31848e-10 2.28522 4 -2.35719e+08 
276 1.67242e-09 7.92553e-10 2.11017 4 2.07306e+08 
303 1.67215e-09 7.10247e-10 2.35433 4 1.38418e+08 
334 1.67233e-09 7.15725e-10 2.33655 4 -1.62752e+08 
367 1.67282e-09 6.99517e-10 2.39139 4 3.05849e+08 
404 1.67249e-09 7.13827e-10 2.34299 4 -2.7813e+08 
444 1.67232e-09 6.79035e-10 2.46279 4 -3.23025e+08 
489 1.67246e-09 6.81584e-10 2.45379 4 4.38402e+08 
538 1.67259e-09 6.87227e-10 2.43383 4 -2.63837e+07 
591 1.67266e-09 6.59825e-10 2.535 4 5.63426e+08 
651 1.67272e-09 6.52083e-10 2.5652 4 2.35652e+08 
716 1.67238e-09 6.83612e-10 2.44638 4 -2.68232e+08 
787 1.67235e-09 6.45202e-10 2.59197 4 2.97116e+07 
866 1.67221e-09 6.40725e-10 2.60987 4 -4.56401e+08 
953 1.67207e-09 6.39092e-10 2.61632 4 4.5747e+07 
1048 1.67195e-09 6.39636e-10 2.61391 4 -2.76029e+08 
1153 1.6718e-09 6.53002e-10 2.56018 4 -5.30608e+08 
1268 1.67168e-09 6.51846e-10 2.56452 4 1.06545e+07 
1395 1.6716e-09 6.59445e-10 2.53487 4 2.8107e+08 
1535 1.67146e-09 6.78393e-10 2.46385 4 1.022e+09 
1688 1.67139e-09 7.0879e-10 2.35809 4 -4.10852e+08 
1857 1.67139e-09 7.22985e-10 2.31179 4 -4.00872e+08 
2043 1.67154e-09 7.48351e-10 2.23364 4 8.99439e+07 
2247 1.67197e-09 7.54442e-10 2.21616 4 2.6895e+08 
2472 1.67117e-09 7.76809e-10 2.15132 4 2.63793e+08 
2719 1.67185e-09 7.84754e-10 2.13041 4 9.72245e+07 
2991 1.67309e-09 7.91175e-10 2.11469 4 5.21543e+07 
3290 1.67316e-09 8.01744e-10 2.0869 4 -3.5617e+08 
3619 1.67669e-09 8.17466e-10 2.05109 4 -5.52946e+08 
3981 1.67899e-09 8.32671e-10 2.01639 4 -8.72496e+08 
4379 1.68907e-09 8.46119e-10 1.99626 4 2.08946e+08 
4817 1.71123e-09 8.58673e-10 1.99288 4 2.87572e+08 
5299 1.71801e-09 8.6846e-10 1.97823 4 -5.02436e+07 
5829 1.73602e-09 8.78794e-10 1.97546 4 6.81281e+08 
6412 1.74126e-09 8.97076e-10 1.94104 4 -2.3389e+08 
7053 1.76211e-09 9.11199e-10 1.93384 4 1.32671e+09 
7758 1.76768e-09 9.23798e-10 1.91349 4 2.32335e+09 
8534 1.77606e-09 9.53465e-10 1.86274 4 -9.58781e+07 
9388 1.77047e-09 9.80598e-10 1.8055 4 5.52039e+08 
10326 1.79085e-09 1.00757e-09 1.7774 4 1.08442e+09 
